Term,Expln,Coeff,StdErr,P-value,OR,LOR,UOR,N_NoDM,N_DM,,,,,,,,,Table 3. Comparison of Services provided in Visits among DM2 Patients Vs. Age-Matched non-DM patients in the 2016-2018 NAMCS Study,,,,,
DME,Surable medical equipment,0.33386601,0.185649857,0.072189005,1.40,0.96,2.02,5167512,3619626,,,,,,,,,SKIN,108555937.9 (17.8),69658104.9 (17.4),38897833.0 (18.4),0.59,
ETOH,Alcohol abuse screening,0.33437162,0.17115367,0.051303115,1.40,0.99,1.97,8175458,5496785,,,,,,,,,SUBST,10275072.1 (1.7),6481652.1 (1.6),3793420.0 (1.8),0.724,
SPIRO,Spirometry,0.358378683,0.338923112,0.292406177,1.43,0.73,2.82,3669857,1961703,,,,,,,,,DIAEDUC,27048191.8 (4.4),1414629.0 (0.4),25633562.8 (12.1),<0.001,
RETINAL,Retinal exam,0.412207801,0.055759204,3.79E-14,1.51,1.35,1.69,52847644,42564184,,,,,,,,,DIETNUTR,79687708.0 (13.0),40093047.1 (10.0),39594660.9 (18.7),<0.001,
EKG,Electrocardiogram,0.412766396,0.104137222,6.38E-05,1.51,1.23,1.86,19207196,13697462,,,,,,,,,EXERCISE,57929074.6 (9.5),29294911.7 (7.3),28634162.9 (13.5),<0.001,
WTREDUC,Weight reduction,0.589549368,0.134876073,1.07E-05,1.80,1.38,2.36,13851872,13671545,,,,,,,,,GRWTHDEV,967910.3 (0.2),407503.1 (0.1),560407.3 (0.3),0.247,
EXERCISE,Exercise counseling,0.601705992,0.092292329,6.11E-11,1.83,1.52,2.20,29294912,28634163,,,,,,,,,INJPREV,8482233.5 (1.4),5751294.1 (1.4),2730939.3 (1.3),0.668,
DIETNUTR,Diet/Nutrition counseling,0.663760132,0.079502693,6.11E-17,1.94,1.66,2.28,40093047,39594661,,,,,,,,,STRESMGT,4689495.7 (0.8),3488680.2 (0.9),1200815.5 (0.6),0.401,
FOOT,Foot exam,0.848045167,0.138564523,9.72E-10,2.34,1.77,3.08,11354601,13428346,,,,,,,,,SUBSTED,4813605.9 (0.8),3542629.4 (0.9),1270976.5 (0.6),0.274,
DIAEDUC,Diabetes education,3.681169995,0.297494117,3.09E-35,39.69,21.89,71.96,1414629,25633563,,,,,,,,,TOBACED,20847535.1 (3.4),13647560.8 (3.4),7199974.3 (3.4),0.979,
,,,,,,,,,,,,,,,,,,WTREDUC,27523417.2 (4.5),13851872.3 (3.5),13671544.8 (6.5),<0.001,
,,,,,,,,,,,,,,,,,,OTHSERV,226931836.1 (37.1),147818326.6 (37.0),79113509.5 (37.3),0.843,
,,,,,,,,,,,,,,,,,,"Numbers are No. (%) unless otherwise noted.SD = standard deviation, IQR = interquartile range",,,,,
